# RRKM rate for corannulene isomer 
En(eV)     K(E) s-1
7.798552  2.795525e+09
7.810950  2.837589e+09
7.823349  2.880173e+09
7.835747  2.923285e+09
7.848145  2.966924e+09
7.860544  3.011101e+09
7.872942  3.055814e+09
7.885340  3.101076e+09
7.897739  3.146883e+09
7.910137  3.193251e+09
7.922535  3.240176e+09
7.934934  3.287669e+09
7.947332  3.335733e+09
7.959730  3.384375e+09
7.972129  3.433596e+09
7.984527  3.483405e+09
7.996925  3.533795e+09
8.009324  3.584798e+09
8.021722  3.636422e+09
8.034120  3.688627e+09
8.046519  3.741443e+09
8.058917  3.794878e+09
8.071315  3.848957e+09
8.083714  3.903647e+09
8.096112  3.958979e+09
8.108510  4.014970e+09
8.120909  4.071596e+09
8.133307  4.128857e+09
8.145705  4.186789e+09
8.158104  4.245398e+09
8.170502  4.304666e+09
8.182900  4.364609e+09
8.195299  4.425239e+09
8.207697  4.486557e+09
8.220095  4.548559e+09
8.232494  4.611271e+09
8.244892  4.674688e+09
8.257290  4.738814e+09
8.269689  4.803664e+09
8.282087  4.869229e+09
8.294485  4.935523e+09
8.306884  5.002582e+09
8.319282  5.070355e+09
8.331680  5.138857e+09
8.344079  5.208134e+09
8.356477  5.278187e+09
8.368875  5.349004e+09
8.381274  5.420581e+09
8.393672  5.492904e+09
8.406070  5.566059e+09
8.418469  5.640002e+09
8.430867  5.714763e+09
8.443265  5.790310e+09
8.455664  5.866661e+09
8.468062  5.943841e+09
8.480460  6.021822e+09
8.492859  6.100658e+09
8.505257  6.180352e+09
8.517655  6.260851e+09
8.530054  6.342232e+09
8.542452  6.424455e+09
8.554850  6.507550e+09
8.567249  6.591520e+09
8.579647  6.676351e+09
8.592045  6.762077e+09
8.604444  6.848717e+09
8.616842  6.936231e+09
8.629240  7.024656e+09
8.641639  7.114001e+09
8.654037  7.204288e+09
8.666435  7.295461e+09
8.678834  7.387615e+09
8.691232  7.480692e+09
8.703630  7.574688e+09
8.716029  7.669673e+09
8.728427  7.765635e+09
8.740825  7.862540e+09
8.753224  7.960440e+09
8.765622  8.059297e+09
