       No.    E-Emin     Density     Sum
       368    36700.0  3.01520E+31  2.76806E+34
       369    36800.0  3.37780E+31  3.10584E+34
       370    36900.0  3.78330E+31  3.48417E+34
       371    37000.0  4.23668E+31  3.90784E+34
       372    37100.0  4.74350E+31  4.38219E+34
       373    37200.0  5.30996E+31  4.91318E+34
       374    37300.0  5.94296E+31  5.50748E+34
       375    37400.0  6.65019E+31  6.17250E+34
       376    37500.0  7.44021E+31  6.91652E+34
       377    37600.0  8.32255E+31  7.74877E+34
       378    37700.0  9.30782E+31  8.67956E+34
       379    37800.0  1.04078E+32  9.72034E+34
       380    37900.0  1.16357E+32  1.08839E+35
       381    38000.0  1.30062E+32  1.21845E+35
       382    38100.0  1.45354E+32  1.36381E+35
       383    38200.0  1.62414E+32  1.52622E+35
       384    38300.0  1.81445E+32  1.70767E+35
       385    38400.0  2.02670E+32  1.91034E+35
       386    38500.0  2.26337E+32  2.13667E+35
       387    38600.0  2.52723E+32  2.38940E+35
       388    38700.0  2.82135E+32  2.67153E+35
       389    38800.0  3.14915E+32  2.98645E+35
       390    38900.0  3.51442E+32  3.33789E+35
       391    39000.0  3.92137E+32  3.73003E+35
       392    39100.0  4.37469E+32  4.16749E+35
       393    39200.0  4.87957E+32  4.65545E+35
       394    39300.0  5.44177E+32  5.19963E+35
       395    39400.0  6.06770E+32  5.80640E+35
       396    39500.0  6.76447E+32  6.48284E+35
       397    39600.0  7.53997E+32  7.23684E+35
       398    39700.0  8.40294E+32  8.07714E+35
       399    39800.0  9.36309E+32  9.01344E+35
       400    39900.0  1.04312E+33  1.00566E+36
       401    40000.0  1.16192E+33  1.12185E+36
       402    40100.0  1.29403E+33  1.25125E+36
       403    40200.0  1.44092E+33  1.39534E+36
       404    40300.0  1.60422E+33  1.55577E+36
       405    40400.0  1.78573E+33  1.73434E+36
       406    40500.0  1.98745E+33  1.93308E+36
       407    40600.0  2.21159E+33  2.15424E+36
       408    40700.0  2.46060E+33  2.40030E+36
       409    40800.0  2.73721E+33  2.67402E+36
       410    40900.0  3.04441E+33  2.97846E+36
       411    41000.0  3.38553E+33  3.31702E+36
       412    41100.0  3.76428E+33  3.69344E+36
       413    41200.0  4.18471E+33  4.11192E+36
       414    41300.0  4.65136E+33  4.57705E+36
       415    41400.0  5.16922E+33  5.09397E+36
       416    41500.0  5.74381E+33  5.66835E+36
       417    41600.0  6.38126E+33  6.30648E+36
       418    41700.0  7.08833E+33  7.01531E+36
       419    41800.0  7.87250E+33  7.80256E+36
       420    41900.0  8.74204E+33  8.67677E+36
       421    42000.0  9.70610E+33  9.64738E+36
       422    42100.0  1.07748E+34  1.07249E+37
       423    42200.0  1.19593E+34  1.19208E+37
       424    42300.0  1.32719E+34  1.32480E+37
       425    42400.0  1.47264E+34  1.47206E+37
       426    42500.0  1.63377E+34  1.63544E+37
       427    42600.0  1.81225E+34  1.81666E+37
       428    42700.0  2.00992E+34  2.01766E+37
       429    42800.0  2.22882E+34  2.24054E+37
       430    42900.0  2.47117E+34  2.48766E+37
       431    43000.0  2.73947E+34  2.76160E+37
       432    43100.0  3.03643E+34  3.06524E+37
       433    43200.0  3.36507E+34  3.40175E+37
       434    43300.0  3.72873E+34  3.77462E+37
       435    43400.0  4.13107E+34  4.18773E+37
       436    43500.0  4.57613E+34  4.64534E+37
       437    43600.0  5.06839E+34  5.15218E+37
       438    43700.0  5.61277E+34  5.71346E+37
       439    43800.0  6.21471E+34  6.33493E+37
       440    43900.0  6.88018E+34  7.02295E+37
       441    44000.0  7.61579E+34  7.78453E+37
       442    44100.0  8.42882E+34  8.62741E+37
       443    44200.0  9.32729E+34  9.56014E+37
       444    44300.0  1.03200E+35  1.05921E+38
       445    44400.0  1.14168E+35  1.17338E+38
       446    44500.0  1.26282E+35  1.29966E+38
       447    44600.0  1.39662E+35  1.43933E+38
       448    44700.0  1.54438E+35  1.59376E+38
       449    44800.0  1.70752E+35  1.76452E+38
       450    44900.0  1.88763E+35  1.95328E+38
       451    45000.0  2.08644E+35  2.16192E+38
       452    45100.0  2.30586E+35  2.39251E+38
       453    45200.0  2.54799E+35  2.64731E+38
       454    45300.0  2.81516E+35  2.92882E+38
       455    45400.0  3.10990E+35  3.23981E+38
       456    45500.0  3.43502E+35  3.58331E+38
       457    45600.0  3.79360E+35  3.96267E+38
       458    45700.0  4.18903E+35  4.38158E+38
       459    45800.0  4.62503E+35  4.84408E+38
       460    45900.0  5.10571E+35  5.35465E+38
       461    46000.0  5.63557E+35  5.91821E+38
       462    46100.0  6.21957E+35  6.54017E+38
       463    46200.0  6.86314E+35  7.22648E+38
       464    46300.0  7.57227E+35  7.98371E+38
       465    46400.0  8.35353E+35  8.81906E+38
       466    46500.0  9.21416E+35  9.74048E+38
       467    46600.0  1.01621E+36  1.07567E+39
       468    46700.0  1.12060E+36  1.18773E+39
       469    46800.0  1.23555E+36  1.31128E+39
       470    46900.0  1.36211E+36  1.44749E+39
       471    47000.0  1.50143E+36  1.59764E+39
       472    47100.0  1.65478E+36  1.76312E+39
       473    47200.0  1.82355E+36  1.94547E+39
       474    47300.0  2.00927E+36  2.14640E+39
       475    47400.0  2.21362E+36  2.36776E+39
       476    47500.0  2.43842E+36  2.61160E+39
       477    47600.0  2.68570E+36  2.88017E+39
       478    47700.0  2.95767E+36  3.17594E+39
       479    47800.0  3.25676E+36  3.50162E+39
       480    47900.0  3.58563E+36  3.86018E+39
       481    48000.0  3.94719E+36  4.25490E+39
       482    48100.0  4.34466E+36  4.68936E+39
       483    48200.0  4.78152E+36  5.16752E+39
       484    48300.0  5.26165E+36  5.69368E+39
       485    48400.0  5.78924E+36  6.27260E+39
       486    48500.0  6.36892E+36  6.90950E+39
       487    48600.0  7.00575E+36  7.61007E+39
       488    48700.0  7.70528E+36  8.38060E+39
       489    48800.0  8.47359E+36  9.22796E+39
       490    48900.0  9.31733E+36  1.01597E+40
       491    49000.0  1.02438E+37  1.11841E+40
       492    49100.0  1.12610E+37  1.23102E+40
       493    49200.0  1.23776E+37  1.35479E+40
       494    49300.0  1.36033E+37  1.49083E+40
       495    49400.0  1.49485E+37  1.64031E+40
       496    49500.0  1.64246E+37  1.80456E+40
       497    49600.0  1.80443E+37  1.98500E+40
       498    49700.0  1.98213E+37  2.18321E+40
       499    49800.0  2.17706E+37  2.40092E+40
       500    49900.0  2.39087E+37  2.64001E+40
       501    50000.0  2.62536E+37  2.90254E+40
       502    50100.0  2.88249E+37  3.19079E+40
       503    50200.0  3.16442E+37  3.50723E+40
       504    50300.0  3.47351E+37  3.85459E+40
       505    50400.0  3.81233E+37  4.23582E+40
       506    50500.0  4.18369E+37  4.65419E+40
       507    50600.0  4.59068E+37  5.11325E+40
       508    50700.0  5.03665E+37  5.61692E+40
       509    50800.0  5.52530E+37  6.16945E+40
       510    50900.0  6.06062E+37  6.77551E+40
       511    51000.0  6.64703E+37  7.44021E+40
       512    51100.0  7.28931E+37  8.16915E+40
       513    51200.0  7.99271E+37  8.96842E+40
       514    51300.0  8.76295E+37  9.84471E+40
       515    51400.0  9.60630E+37  1.08053E+41
       516    51500.0  1.05296E+38  1.18583E+41
       517    51600.0  1.15402E+38  1.30123E+41
       518    51700.0  1.26465E+38  1.42770E+41
       519    51800.0  1.38571E+38  1.56627E+41
       520    51900.0  1.51819E+38  1.71809E+41
       521    52000.0  1.66314E+38  1.88440E+41
       522    52100.0  1.82172E+38  2.06657E+41
       523    52200.0  1.99519E+38  2.26609E+41
       524    52300.0  2.18493E+38  2.48458E+41
       525    52400.0  2.39244E+38  2.72383E+41
       526    52500.0  2.61937E+38  2.98577E+41
       527    52600.0  2.86749E+38  3.27251E+41
       528    52700.0  3.13876E+38  3.58639E+41
       529    52800.0  3.43531E+38  3.92992E+41
       530    52900.0  3.75945E+38  4.30587E+41
       531    53000.0  4.11371E+38  4.71724E+41
       532    53100.0  4.50085E+38  5.16732E+41
       533    53200.0  4.92388E+38  5.65971E+41
       534    53300.0  5.38607E+38  6.19832E+41
       535    53400.0  5.89098E+38  6.78741E+41
       536    53500.0  6.44252E+38  7.43167E+41
       537    53600.0  7.04492E+38  8.13616E+41
       538    53700.0  7.70280E+38  8.90644E+41
