       No.    E-Emin     Density     Sum
       441    44000.0  6.98527E+35  7.09209E+38
       442    44100.0  7.73653E+35  7.86575E+38
       443    44200.0  8.56731E+35  8.72248E+38
       444    44300.0  9.48590E+35  9.67107E+38
       445    44400.0  1.05014E+36  1.07212E+39
       446    44500.0  1.16240E+36  1.18836E+39
       447    44600.0  1.28646E+36  1.31701E+39
       448    44700.0  1.42356E+36  1.45936E+39
       449    44800.0  1.57504E+36  1.61687E+39
       450    44900.0  1.74238E+36  1.79110E+39
       451    45000.0  1.92723E+36  1.98383E+39
       452    45100.0  2.13138E+36  2.19697E+39
       453    45200.0  2.35681E+36  2.43265E+39
       454    45300.0  2.60572E+36  2.69322E+39
       455    45400.0  2.88050E+36  2.98127E+39
       456    45500.0  3.18380E+36  3.29965E+39
       457    45600.0  3.51854E+36  3.65150E+39
       458    45700.0  3.88793E+36  4.04030E+39
       459    45800.0  4.29548E+36  4.46984E+39
       460    45900.0  4.74510E+36  4.94435E+39
       461    46000.0  5.24103E+36  5.46846E+39
       462    46100.0  5.78800E+36  6.04726E+39
       463    46200.0  6.39115E+36  6.68637E+39
       464    46300.0  7.05618E+36  7.39199E+39
       465    46400.0  7.78933E+36  8.17092E+39
       466    46500.0  8.59747E+36  9.03067E+39
       467    46600.0  9.48815E+36  9.97949E+39
       468    46700.0  1.04697E+37  1.10265E+40
       469    46800.0  1.15511E+37  1.21816E+40
       470    46900.0  1.27426E+37  1.34558E+40
       471    47000.0  1.40550E+37  1.48613E+40
       472    47100.0  1.55005E+37  1.64114E+40
       473    47200.0  1.70924E+37  1.81206E+40
       474    47300.0  1.88452E+37  2.00051E+40
       475    47400.0  2.07749E+37  2.20826E+40
       476    47500.0  2.28992E+37  2.43725E+40
       477    47600.0  2.52374E+37  2.68963E+40
       478    47700.0  2.78106E+37  2.96773E+40
       479    47800.0  3.06421E+37  3.27416E+40
       480    47900.0  3.37574E+37  3.61173E+40
       481    48000.0  3.71846E+37  3.98357E+40
       482    48100.0  4.09543E+37  4.39312E+40
       483    48200.0  4.51002E+37  4.84412E+40
       484    48300.0  4.96594E+37  5.34071E+40
       485    48400.0  5.46724E+37  5.88744E+40
       486    48500.0  6.01836E+37  6.48927E+40
       487    48600.0  6.62418E+37  7.15169E+40
       488    48700.0  7.29004E+37  7.88070E+40
       489    48800.0  8.02181E+37  8.68288E+40
       490    48900.0  8.82589E+37  9.56547E+40
       491    49000.0  9.70933E+37  1.05364E+41
